source,target,weight
arthr,cancer,0.11710436551680924
arthr,diabetes,0.18071572621696952
arthr,heart,0.16113533094223717
arthr,lung,0.020794122476100383
arthr,mental,0.009747713154177098
cancer,diabetes,0.16022828288299196
cancer,heart,0.0731096074192787
cancer,lung,0.10966760683950658
cancer,mental,0.004696615145638194
diabetes,heart,0.6652790272150345
diabetes,lung,0.3758635522858465
diabetes,memory,0.038864777807782955
diabetes,mental,0.1549881552655268
diabetes,stroke,0.0076599041567763865
heart,hypertension,0.9
heart,lung,0.07972483233035606
heart,mental,0.022452847252167507
heart,stroke,0.12651808096411493
mental,memory,0.6945245485426046
mental,stroke,0.08948623164750738
memory,stroke,0.4502368452121877
stroke,hypertension,0.16180192676750768
